cell,iy,iphi,dy_low,dy_high,dphi_low,dphi_high,in_control,data,data_error,mix,mix_pair_error,dps,dps_error,sps,sps_error,weight_dps,weight_sps,sps_significance
0,0,0,0,0.6,0,1.57079632679,0,1988.86140216,46.7261073331,615924.878905,3537.61602337,115.995754199,12.6207439068,1872.86564796,48.4005401134,0.058322693614,0.941677306386,38.6951394256
1,0,1,0,0.6,1.57079632679,2.35619449019,0,281.031893614,18.1786250967,330236.534965,2609.13170539,62.192707665,6.7751912485,218.839185949,19.4001450216,0.221301244016,0.778698755984,11.2802860857
2,0,2,0,0.6,2.35619449019,3.14159265359,0,564.216879927,27.038418046,334815.077843,2626.02192592,63.0549743999,6.8688630108,501.161905527,27.8972638352,0.111756625233,0.888243374767,17.9645541042
3,1,0,0.6,1.2,0,1.57079632679,0,362.541480561,21.4125884816,553938.666354,3364.50724592,104.322029495,11.3524723853,258.219451066,24.2358737153,0.287751981741,0.712248018259,10.6544312823
4,1,1,0.6,1.2,1.57079632679,2.35619449019,0,171.774600829,14.5037789664,278318.317909,2379.46369765,52.4150660234,5.71259428169,119.359534806,15.5882435744,0.305138628007,0.694861371993,7.65702269382
5,1,2,0.6,1.2,2.35619449019,3.14159265359,0,356.377128645,20.8156967384,276889.103332,2381.69190488,52.1459052402,5.68347316173,304.231223405,21.5776527427,0.146322255411,0.853677744589,14.0993659984
6,2,0,1.2,1.8,0,1.57079632679,0,167.998263183,14.3414755658,426539.605688,2948.18898905,80.3292494784,8.7455596602,87.6690137046,16.7977002942,0.478155237777,0.521844762223,5.21910810224
7,2,1,1.2,1.8,1.57079632679,2.35619449019,0,101.654621471,11.4415583052,213041.174937,2086.68214827,40.121567757,4.37695770086,61.533053714,12.2501842911,0.394685132623,0.605314867377,5.02303085829
8,2,2,1.2,1.8,2.35619449019,3.14159265359,0,307.679956646,20.4472729641,218113.872235,2106.99511762,41.0768974881,4.48068363316,266.603059158,20.9324508238,0.133505275858,0.866494724142,12.7363518683
9,3,0,1.8,4,0,1.57079632679,1,110.214951566,11.9567112553,585229.44366,3517.91722546,110.214951566,11.9567112553,0,0,1,0,0
10,3,1,1.8,4,1.57079632679,2.35619449019,0,55.3059417935,10.1494531443,298107.105586,2519.35264607,56.1418441255,6.11833673389,-0.835902331999,11.8509680414,1.01511415058,-0.0151141505757,-0.070534519128
11,3,2,1.8,4,2.35619449019,3.14159265359,0,419.349230024,23.4498020268,291239.443835,2492.33171998,54.8484727557,5.97784100422,364.500757268,24.1997478947,0.130794261271,0.869205738729,15.0621716744
