figure_id,title,status,pdf,pdf_sha256,pdf_page_points,png,png_sha256,png_pixels,machine_sources,machine_source_sha256,selection,normalization_weight_error_definition,generation_script,reproduction_command,producer_version,generated_at,caveat
F01,Prompt-prompt yield in Data,complete,figures/pp_yield_map_current12.pdf,10bac02398a6defa605a280ba4618bad19bdebd0bd664a3380e802fdca34465a,959.976x540,figures/pp_yield_map_current12.png,1476cfc0349d842b039482d16037d643f98b1841e0d18e34f5357e311b3e47d3,2399x1350,data/cells_current12.csv,d42363866a737cd79c46664d0323fb70399f6bc9dd71ec57f640bf31908f2d9d,Prompt J/psi pair; each J/psi 10 <= pT <= 40 GeV and |y| < 2.0; same PV; m(J/psi J/psi) >= 7.5 GeV,N_PP and fitted uncertainty in each accepted cell,scripts/plot_figures.py,bash scripts/run_all.sh,sync/chensh-20260730@b89508566a2096bf40e3a99addac7d09fd901e2b,2026-08-29T07:44:16+02:00,12/12 accepted cell fits; errors are fitted prompt-prompt uncertainties
F02,Data-driven control region in the 12-cell phase space,complete,figures/control_region_geometry_current12.pdf,33f6e052bcddfdecf13703a222411aa144f21e32816dd0f9d92834501eb5b638,959.976x540,figures/control_region_geometry_current12.png,2cc4a7d190b1d3ba4dcbe7d55bba420b7912a4df4cdb0e7f5cff4230d1edb176,2399x1350,data/cells_current12.csv,d42363866a737cd79c46664d0323fb70399f6bc9dd71ec57f640bf31908f2d9d,Prompt J/psi pair; each J/psi 10 <= pT <= 40 GeV and |y| < 2.0; same PV; m(J/psi J/psi) >= 7.5 GeV,Accepted 12-cell geometry with the single low-|Delta phi| control cell,scripts/plot_figures.py,bash scripts/run_all.sh,sync/chensh-20260730@b89508566a2096bf40e3a99addac7d09fd901e2b,2026-08-29T07:44:16+02:00,Geometry only; the highlighted control cell supplies DPS normalization
F03,CR-normalized data-derived DPS yield; Data-derived SPS residual,complete,figures/dps_sps_decomposition_current12.pdf,e540a7a826def1671d09e0550e0be0b10f638f6fe2a157fb72488be3b4298574,959.976x540,figures/dps_sps_decomposition_current12.png,0d18dd564d9c1ab0c086e0d6c3ef1b0ca744afa44cc12a3f001d0c32089d133a,2399x1350,data/cells_current12.csv,d42363866a737cd79c46664d0323fb70399f6bc9dd71ec57f640bf31908f2d9d,Prompt J/psi pair; each J/psi 10 <= pT <= 40 GeV and |y| < 2.0; same PV; m(J/psi J/psi) >= 7.5 GeV,Stored DPS/SPS yields and propagated per-cell uncertainties,scripts/plot_figures.py,bash scripts/run_all.sh,sync/chensh-20260730@b89508566a2096bf40e3a99addac7d09fd901e2b,2026-08-29T07:44:16+02:00,Signed SPS residuals are retained without truncation
F04,Prompt single-J/psi extraction in Data,complete,figures/single_jpsi_fit_summary.pdf,8318c98f2df543d017682ccaf1c534251cf61613f4d9b8f93123be37180082ae,425x239,figures/single_jpsi_fit_summary.png,5553be81e3f190ca53f88e0282d9ce2ee6194b578620ede5360b9db0062f7960,1600x900,data/single_jpsi_fit_qa.csv;tests/atlas_data_driven_sps/results/fdps_systematics_final_v1/category/global_calibrated/jpsi1_sweights.root;tests/atlas_data_driven_sps/results/fdps_systematics_final_v1/category/global_calibrated/jpsi2_sweights.root;Data/ULntuple16/CMSSW_10_6_20/src/NtupleAnalyzer/Model_4D_tot.root,ffd9964948d45f4351c36180475562d09479f521971b0dd129bcf2c229f5ada4;0c92e331771ea66186f36e84f2976341a4e8c90c29b0c45c7e25550887ffac6c;df84d3296e712cab8b29e25fadf2b1dbf24f348c836bdfcd80e386657ad17b61;ca9a0d65ccacd2f38b5c93480836357a815f3668bb69d0feaf18856cbe9a3fef,Prompt J/psi pair; each J/psi 10 <= pT <= 40 GeV and |y| < 2.0; same PV; m(J/psi J/psi) >= 7.5 GeV,Unweighted mass/decay-length projections with saved two-stage yield-fit parameters,scripts/plot_single_jpsi_fit_summary.cpp,bash scripts/run_all.sh,sync/chensh-20260730@b89508566a2096bf40e3a99addac7d09fd901e2b,2026-08-29T07:44:16+02:00,Projection only; no fitTo call and no fit result was regenerated
F05,Single-J/psi category dependence,complete,figures/single_jpsi_category_dependence.pdf,36bd0c0ba186334ba905f44f745959a4fbce91d66e262fbb10cd01534eadc031,959.976x540,figures/single_jpsi_category_dependence.png,7fd4efcb1267a46ce785d3214b7013733a9d40adcc931dd2dca6e70ce1932e05,2399x1350,data/single_jpsi_category_dependence.csv,4fa386f7ed232180771bc9d12448586cc2adf24a27efb8c478a709ce0e29d20c,Prompt J/psi pair; each J/psi 10 <= pT <= 40 GeV and |y| < 2.0; same PV; m(J/psi J/psi) >= 7.5 GeV,Accepted central value and pT/|y| category variations,scripts/plot_figures.py,bash scripts/run_all.sh,sync/chensh-20260730@b89508566a2096bf40e3a99addac7d09fd901e2b,2026-08-29T07:44:16+02:00,Alternatives are variations; neither is assigned a method-status label
F06,Full-workflow bootstrap distribution,complete,figures/bootstrap_fdps_fixed500.pdf,4e155265e4f38c1c0d03f93c3076f6f1f0f490f3099f3a6703826239bf4e279e,959.976x540,figures/bootstrap_fdps_fixed500.png,ee68c5e268ffe8fc96cd6f589e590f3aafc47a64c037977f23bf00a7a77ab6a2,2399x1350,data/bootstrap_fdps_fixed500.csv;data/bootstrap_plot_metadata.json,fc97989e073a76d5dbc6dc8e81b37e27cb4ff70b47967bfc8fdf5425dd43111a;f719405c2358b21eb9ef09f855028e867d49362c405730d799de0bd574a0b7fd,Prompt J/psi pair; each J/psi 10 <= pT <= 40 GeV and |y| < 2.0; same PV; m(J/psi J/psi) >= 7.5 GeV,Accepted fixed 500/500 full-workflow replica f_DPS distribution,scripts/plot_figures.py,bash scripts/run_all.sh,sync/chensh-20260730@b89508566a2096bf40e3a99addac7d09fd901e2b,2026-08-29T07:44:16+02:00,"No failed or replacement attempts; 20 fixed bins over [0.02,0.40]"
F07,Control-region definition and purity variations,complete,figures/control_region_variations.pdf,d270ac5a18f9ede328839f8ca5b291847d0c2dcc9fdb7c34a5bb7a6a95da4938,959.976x540,figures/control_region_variations.png,7ace94f8d336ce649337c00c12ea5db21aca9e98747bee3548960ddc42cd1f50,2399x1350,data/control_region_variations.csv,a70c8354642d478cbe48ce76c734ffa35474791c2adb10943b299272a704e9c4,Prompt J/psi pair; each J/psi 10 <= pT <= 40 GeV and |y| < 2.0; same PV; m(J/psi J/psi) >= 7.5 GeV,Accepted CR-boundary and zero/MC-leakage f_DPS variations,scripts/plot_figures.py,bash scripts/run_all.sh,sync/chensh-20260730@b89508566a2096bf40e3a99addac7d09fd901e2b,2026-08-29T07:44:16+02:00,"Envelope is the accepted group envelope, not an additional fit"
F08,Pure-DPS full-workflow closure,complete,figures/pure_dps_full_workflow_closure.pdf,6edcb1af522b9f162d88be0b358860a3b85f33bf5fc15fbc1002f19dad9bf0c1,959.976x540,figures/pure_dps_full_workflow_closure.png,388cbd3d6ae5b141f0dcf9b840f02c3fbe9da358a4cb2cf6c4d8c15aedd9a3b4,2399x1350,data/pure_dps_full_workflow_closure.json,1eeeec867d740284072f00243b0d22d08504e7e04e74ae2e961f3e5bd941abb0,Prompt J/psi pair; each J/psi 10 <= pT <= 40 GeV and |y| < 2.0; same PV; m(J/psi J/psi) >= 7.5 GeV,Expected/recovered pure-DPS fraction and accepted mapping to Data uncertainty,scripts/plot_figures.py,bash scripts/run_all.sh,sync/chensh-20260730@b89508566a2096bf40e3a99addac7d09fd901e2b,2026-08-29T07:44:16+02:00,Conditional on the current DPS simulation model being treated as correct
F09,Data-driven method uncertainty,complete,figures/method_systematic_breakdown.pdf,ec1e0064c30535e82c75fda56920402fd68b72eb7da0bb9eea264dce68a4e71d,959.976x540,figures/method_systematic_breakdown.png,412e19f0a618fce5e0635420b9e9b1b9bd61410d0ac993b0e3ddb4d7c903cfa7,2399x1350,data/method_systematic_breakdown.csv,56c76b24360d9982791b25e34cfdcffbb994bb461c8a0acead060a81ed49785e,Prompt J/psi pair; each J/psi 10 <= pT <= 40 GeV and |y| < 2.0; same PV; m(J/psi J/psi) >= 7.5 GeV,Three included groups and separate upward/downward quadrature,scripts/plot_figures.py,bash scripts/run_all.sh,sync/chensh-20260730@b89508566a2096bf40e3a99addac7d09fd901e2b,2026-08-29T07:44:16+02:00,"Deferred and diagnostic sources are intentionally absent, not set to zero"
F10,SPS residual significance by cell,complete,figures/sps_significance_map_current12.pdf,2e6420aa4acb27a36b14956e8fa1c31df851d7d4cf2d92364d7d43b097c04e39,959.976x540,figures/sps_significance_map_current12.png,7975367e9db6753477731cb2dec7ad7ea1442693a992e01947de0e1625e838bb,2399x1350,data/cells_current12.csv,d42363866a737cd79c46664d0323fb70399f6bc9dd71ec57f640bf31908f2d9d,Prompt J/psi pair; each J/psi 10 <= pT <= 40 GeV and |y| < 2.0; same PV; m(J/psi J/psi) >= 7.5 GeV,Stored signed per-cell SPS residual significance,scripts/plot_figures.py,bash scripts/run_all.sh,sync/chensh-20260730@b89508566a2096bf40e3a99addac7d09fd901e2b,2026-08-29T07:44:16+02:00,Per-cell diagnostic only; not a global significance or extra systematic
